,date_production_year_week,id,date_demand_prod_id,week-1,production_plan_year_week-1,plan_date_id,logistic_stock_week
2,2021-W27,2,2.0,26,2021-W26,0.0,0.0
3,2021-W28,3,3.0,27,2021-W27,0.0,0.0
4,2021-W31,3,3.0,30,2021-W30,0.0,0.0
5,2021-W33,9,9.0,32,2021-W32,0.0,0.0
6,2021-W36,14,14.0,35,2021-W35,0.0,0.0
7,2021-W37,5,5.0,36,2021-W36,0.0,0.0
8,2021-W38,2,2.0,37,2021-W37,0.0,0.0
9,2021-W39,7,7.0,38,2021-W38,0.0,0.0
10,2021-W40,7,7.0,39,2021-W39,0.0,0.0
11,2021-W41,6,6.0,40,2021-W40,0.0,0.0
12,2021-W42,3,3.0,41,2021-W41,0.0,0.0
13,2021-W43,5,5.0,42,2021-W42,0.0,0.0
14,2021-W44,9,9.0,43,2021-W43,0.0,0.0
15,2021-W45,3,3.0,44,2021-W44,0.0,0.0
16,2021-W46,5,5.0,45,2021-W45,0.0,0.0
17,2021-W47,4,4.0,46,2021-W46,0.0,0.0
18,2021-W48,9,9.0,47,2021-W47,0.0,0.0
19,2021-W49,4,4.0,48,2021-W48,0.0,0.0
20,2021-W50,6,6.0,49,2021-W49,0.0,0.0
21,2021-W51,1,1.0,50,2021-W50,0.0,0.0
22,2022-W1,11,11.0,0,2022-W0,0.0,0.0
23,2022-W10,9,9.0,9,2022-W9,0.0,0.0
24,2022-W11,5,5.0,10,2022-W10,0.0,0.0
25,2022-W12,6,6.0,11,2022-W11,0.0,0.0
26,2022-W13,4,4.0,12,2022-W12,0.0,0.0
27,2022-W14,3,3.0,13,2022-W13,0.0,0.0
28,2022-W15,8,8.0,14,2022-W14,0.0,0.0
29,2022-W16,4,4.0,15,2022-W15,0.0,0.0
30,2022-W17,6,6.0,16,2022-W16,0.0,0.0
31,2022-W18,3,3.0,17,2022-W17,0.0,0.0
32,2022-W19,7,7.0,18,2022-W18,0.0,0.0
33,2022-W2,16,16.0,1,2022-W1,0.0,0.0
34,2022-W20,7,7.0,19,2022-W19,0.0,0.0
35,2022-W21,7,12.0,20,2022-W20,0.0,-5.0
36,2022-W22,9,16.0,21,2022-W21,0.0,-7.0
37,2022-W23,2,8.0,22,2022-W22,0.0,-6.0
38,2022-W24,1,3.0,23,2022-W23,632.0,630.0
39,2022-W3,3,3.0,2,2022-W2,0.0,0.0
40,2022-W4,1,1.0,3,2022-W3,0.0,0.0
41,2022-W5,6,6.0,4,2022-W4,0.0,0.0
42,2022-W6,12,12.0,5,2022-W5,0.0,0.0
43,2022-W7,2,2.0,6,2022-W6,0.0,0.0
44,2022-W8,2,2.0,7,2022-W7,0.0,0.0
45,2022-W9,7,7.0,8,2022-W8,0.0,0.0
46,2023-W1,7,14.0,0,2023-W0,0.0,-7.0
47,2023-W10,7,7.0,9,2023-W9,0.0,0.0
48,2023-W11,8,6.0,10,2023-W10,0.0,2.0
49,2023-W12,6,6.0,11,2023-W11,0.0,0.0
50,2023-W13,7,12.0,12,2023-W12,0.0,-5.0
51,2023-W14,8,7.0,13,2023-W13,0.0,1.0
52,2023-W15,7,6.0,14,2023-W14,0.0,1.0
53,2023-W16,4,5.0,15,2023-W15,0.0,-1.0
54,2023-W17,8,5.0,16,2023-W16,0.0,3.0
55,2023-W18,6,6.0,17,2023-W17,0.0,0.0
56,2023-W19,7,8.0,18,2023-W18,0.0,-1.0
57,2023-W2,7,12.0,1,2023-W1,0.0,-5.0
58,2023-W20,8,9.0,19,2023-W19,0.0,-1.0
59,2023-W21,7,7.0,20,2023-W20,0.0,0.0
60,2023-W22,8,9.0,21,2023-W21,0.0,-1.0
61,2023-W23,7,18.0,22,2023-W22,0.0,-11.0
62,2023-W24,8,12.0,23,2023-W23,0.0,-4.0
63,2023-W25,7,8.0,24,2023-W24,0.0,-1.0
64,2023-W26,2,2.0,25,2023-W25,0.0,0.0
65,2023-W27,7,15.0,26,2023-W26,0.0,-8.0
66,2023-W28,8,14.0,27,2023-W27,0.0,-6.0
67,2023-W29,6,12.0,28,2023-W28,0.0,-6.0
68,2023-W3,8,7.0,2,2023-W2,0.0,1.0
69,2023-W33,7,16.0,32,2023-W32,0.0,-9.0
70,2023-W34,7,15.0,33,2023-W33,0.0,-8.0
71,2023-W35,8,15.0,34,2023-W34,0.0,-7.0
72,2023-W36,7,21.0,35,2023-W35,0.0,-14.0
73,2023-W37,8,15.0,36,2023-W36,0.0,-7.0
74,2023-W38,7,16.0,37,2023-W37,0.0,-9.0
75,2023-W39,6,10.0,38,2023-W38,0.0,-4.0
76,2023-W4,7,8.0,3,2023-W3,0.0,-1.0
77,2023-W40,8,16.0,39,2023-W39,0.0,-8.0
78,2023-W41,7,12.0,40,2023-W40,0.0,-5.0
79,2023-W42,8,16.0,41,2023-W41,0.0,-8.0
80,2023-W43,7,14.0,42,2023-W42,0.0,-7.0
81,2023-W44,8,12.0,43,2023-W43,0.0,-4.0
82,2023-W45,7,0.0,44,2023-W44,0.0,7.0
83,2023-W46,8,0.0,45,2023-W45,0.0,8.0
84,2023-W47,7,0.0,46,2023-W46,0.0,7.0
85,2023-W48,7,0.0,47,2023-W47,0.0,7.0
86,2023-W49,8,0.0,48,2023-W48,0.0,8.0
87,2023-W5,8,8.0,4,2023-W4,0.0,0.0
88,2023-W50,7,0.0,49,2023-W49,0.0,7.0
89,2023-W51,8,0.0,50,2023-W50,0.0,8.0
90,2023-W52,7,0.0,51,2023-W51,0.0,7.0
91,2023-W6,7,10.0,5,2023-W5,0.0,-3.0
92,2023-W7,8,8.0,6,2023-W6,0.0,0.0
93,2023-W8,7,11.0,7,2023-W7,0.0,-4.0
94,2023-W9,8,8.0,8,2023-W8,0.0,0.0
