,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,smoothing_end_date,version,shared
0,2110,107,3689549,IS0028108M,107A-800VU-COA-40,YP04,1,04/02/2021,10/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702008,15/02/2021,20.71,4.0,prod,0.0,2,2021-02-10,,,True,,2,True
1,2110,107,3685523,IS0015667M,107A-DE-820-40,YP04,1,06/01/2021,16/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT MMEf RIMP,A110702008,15/02/2021,765.12,22.0,prod,1.0,1,2021-02-16,,,True,,2,True
2,2110,107,3697583,IS0028165M,107B-800VU-COA-40,YP04,1,12/02/2021,18/02/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702001,03/03/2021,20.71,4.0,prod,0.0,2,2021-02-18,,,True,,2,True
3,2110,107,3691596,IS0015730M,107B-DE-820-40,YP04,1,02/02/2021,12/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702001,01/03/2021,765.12,22.0,prod,0.0,1,2021-03-12,,,True,,2,True
4,2110,107,3700584,IS0015730M,107B-DE-820-40,YP04,1,04/02/2021,16/03/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210701970,10/03/2021,765.12,22.0,prod,0.0,1,2021-03-16,,,True,,2,True
5,2110,107,3701570,IS0028165M,107B-800VU-COA-40,YP04,1,15/03/2021,22/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701970,10/03/2021,20.71,4.0,prod,0.0,2,2021-03-22,,,True,,2,True
6,2110,107,3697577,IS0015730M,107B-DE-820-40,YP04,1,16/02/2021,26/03/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,19/03/2021,765.12,22.0,prod,0.0,1,2021-03-26,,,True,,2,True
7,2110,107,3713842,IS0028165M,107B-800VU-COA-40,YP04,1,23/03/2021,30/03/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702003,29/03/2021,20.71,4.0,prod,0.0,2,2021-03-30,,,True,,2,True
8,2110,107,3713841,IS0028108M,107A-800VU-COA-40,YP04,1,07/04/2021,14/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702011,19/04/2021,20.71,4.0,prod,0.0,2,2021-04-14,,,True,,2,True
9,2110,107,3703052,IS0015730M,107B-DE-820-40,YP04,1,08/03/2021,15/04/2021,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702002,08/04/2021,765.12,22.0,prod,0.0,1,2021-04-15,,,True,,2,True
10,2110,107,3714427,IS0028165M,107B-800VU-COA-40,YP04,1,09/04/2021,20/04/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702002,12/04/2021,20.71,4.0,prod,0.0,2,2021-04-20,,,True,,2,True
11,2110,107,3722216,IS0015667M,107A-DE-820-40,YP04,1,19/03/2021,28/04/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A110702011,19/04/2021,765.12,22.0,prod,1.0,1,2021-04-28,,,True,,2,True
12,2110,107,3746964,IS0015730M,107B-DE-820-40,YP04,1,22/04/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A210701995,29/04/2021,765.12,22.0,prod,0.0,1,2021-05-18,,,True,,2,True
13,2110,107,3746962,IS0028165M,107B-800VU-COA-40,YP04,1,06/05/2021,18/05/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A210701995,29/04/2021,20.71,4.0,prod,0.0,2,2021-05-18,,,True,,2,True
14,2110,107,3737360,IS0028165M,107B-800VU-COA-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,20.71,4.0,prod,0.0,2,2021-05-25,,,True,,2,True
15,2110,107,3729660,IS0015730M,107B-DE-820-40,YP04,1,12/04/2021,25/05/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702004,17/05/2021,765.12,22.0,prod,0.0,1,2021-05-25,,,True,,2,True
16,2110,107,3737354,IS0015730M,107B-DE-820-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,765.12,22.0,prod,0.0,1,2021-06-08,,,True,,2,True
17,2110,107,3737361,IS0028165M,107B-800VU-COA-40,YP04,1,26/04/2021,08/06/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702006,24/05/2021,20.71,4.0,prod,0.0,2,2021-06-08,,,True,,2,True
18,2110,107,3766142,IS0028108M,107A-800VU-COA-40,YP04,1,08/06/2021,15/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,20.71,4.0,prod,0.0,2,2021-06-15,,,True,,2,True
19,2110,107,3740787,IS0015667M,107A-DE-820-40,YP04,1,17/05/2021,24/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702007,07/06/2021,765.12,22.0,prod,1.0,1,2021-06-24,,,True,,2,True
20,2110,107,3766143,IS0028165M,107B-800VU-COA-40,YP04,1,21/06/2021,25/06/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,30/06/2021,20.71,4.0,prod,0.0,2,2021-06-25,,,True,,2,True
21,2110,107,3757519,IS0015730M,107B-DE-820-40,YP04,1,01/06/2021,08/07/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702000,30/06/2021,765.12,22.0,prod,0.0,1,2021-07-08,,,True,,2,True
22,2110,107,3772548,IS0028165M,107B-800VU-COA-40,YP04,1,01/07/2021,08/07/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,14/07/2021,20.71,4.0,prod,0.0,2,2021-07-08,,,True,,2,True
23,2110,107,3772543,IS0015730M,107B-DE-820-40,YP04,1,08/06/2021,16/07/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210701999,14/07/2021,765.12,22.0,prod,0.0,1,2021-07-16,,,True,,2,True
24,2110,107,3772509,IS0015667M,107A-DE-820-40,YP04,1,16/06/2021,20/08/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,13/08/2021,765.12,22.0,prod,1.0,1,2021-08-20,,,True,,2,True
25,2110,107,3772547,IS0028108M,107A-800VU-COA-40,YP04,1,17/08/2021,22/08/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702012,11/10/2021,20.71,4.0,prod,0.0,2,2021-08-22,,,True,,2,True
26,2110,107,3806010,IS0015730M,107B-DE-820-40,YP04,1,23/08/2021,14/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,13/09/2021,765.12,22.0,prod,0.0,1,2021-09-14,,,True,,2,True
27,2110,107,3801724,IS0015730M,107B-DE-820-40,YP04,1,12/08/2021,17/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,02/09/2021,765.12,22.0,prod,0.0,1,2021-09-17,,,True,,2,True
28,2110,107,3801687,IS0028165M,107B-800VU-COA-40,YP04,1,13/09/2021,17/09/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702010,02/09/2021,20.71,4.0,prod,0.0,2,2021-09-17,,,True,,2,True
29,2110,107,3806023,IS0028165M,107B-800VU-COA-40,YP04,1,14/09/2021,22/09/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702009,13/09/2021,20.71,4.0,prod,0.0,2,2021-09-22,,,True,,2,True
30,2110,107,3826592,IS0028165M,107B-800VU-COA-40,YP04,1,13/10/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,15/10/2021,20.71,4.0,prod,0.0,2,2021-10-13,,,True,,2,True
31,2110,107,3823658,IS0028165M,107B-800VU-COA-40,YP04,1,09/10/2021,13/10/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,27/09/2021,20.71,4.0,prod,0.0,2,2021-10-13,,,True,,2,True
32,2110,107,3816047,IS0015730M,107B-DE-820-40,YP04,1,07/09/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702013,27/09/2021,765.12,22.0,prod,0.0,1,2021-10-13,,,True,,2,True
33,2110,107,3823653,IS0015730M,107B-DE-820-40,YP04,1,24/09/2021,13/10/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702014,15/10/2021,765.12,22.0,prod,0.0,1,2021-10-13,,,True,,2,True
34,2110,107,3843317,IS0028108M,107A-800VU-COA-40,YP04,1,03/11/2021,08/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,08/11/2021,20.71,4.0,prod,0.0,2,2021-11-08,,,True,,2,True
35,2110,177,3851808,IS0014648M,177A-915LR,YP04,1,04/11/2021,08/11/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702010,04/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-08,,,True,,2,True
36,2110,107,3826588,IS0015667M,107A-DE-820-40,YP04,1,07/10/2021,15/11/2021,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702015,08/11/2021,765.12,22.0,prod,1.0,1,2021-11-15,,,True,,2,True
37,2110,177,3852132,IS0014648M,177A-915LR,YP04,1,11/11/2021,22/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702009,15/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-22,,,True,,2,True
38,2110,107,3842175,IS0015730M,107B-DE-820-40,YP04,1,04/11/2021,29/11/2021,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702016,25/11/2021,765.12,22.0,prod,0.0,1,2021-11-29,,,True,,2,True
39,2110,107,3851893,IS0028165M,107B-800VU-COA-40,YP04,1,11/11/2021,29/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702016,25/11/2021,20.71,4.0,prod,0.0,2,2021-11-29,,,True,,2,True
40,2110,177,3855092,IS0014648M,177A-915LR,YP04,1,29/11/2021,30/11/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ARCO MMEf RIMP,A117702013,29/11/2021,123.493315543289,18.0,prod,0.0,3,2021-11-30,,,True,,2,True
41,2110,107,3854893,IS0015730M,107B-DE-820-40,YP04,1,02/12/2021,27/12/2021,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702017,14/12/2021,765.12,22.0,prod,0.0,1,2021-12-27,,,True,,2,True
42,2110,107,3858770,IS0028165M,107B-800VU-COA-40,YP04,1,18/11/2021,27/12/2021,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702017,14/12/2021,20.71,4.0,prod,0.0,2,2021-12-27,,,True,,2,True
43,2110,177,3862648,IS0014648M,177A-915LR,YP04,1,22/12/2021,03/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702014,28/12/2021,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,True,,2,True
44,2110,177,3870136,IS0014648M,177A-915LR,YP04,1,30/12/2021,03/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702015,30/12/2021,123.493315543289,18.0,prod,0.0,3,2022-01-03,,,True,,2,True
45,2110,107,3862460,IS0015730M,107B-DE-820-40,YP04,1,24/12/2021,07/01/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702018,11/01/2022,765.12,22.0,prod,0.0,1,2022-01-07,,,True,,2,True
46,2110,107,3869829,IS0028165M,107B-800VU-COA-40,YP04,1,24/12/2021,07/01/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702018,11/01/2022,20.71,4.0,prod,0.0,2,2022-01-07,,,True,,2,True
47,2110,177,3882967,IS0014648M,177A-915LR,YP04,1,17/01/2022,21/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702016,21/01/2022,123.493315543289,18.0,prod,0.0,3,2022-01-21,,,True,,2,True
48,2110,107,3869822,IS0015730M,107B-DE-820-40,YP04,1,13/01/2022,28/01/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,28/01/2022,765.12,22.0,prod,0.0,1,2022-01-28,,,True,,2,True
49,2110,107,3879386,IS0028165M,107B-800VU-COA-40,YP04,1,13/01/2022,28/01/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702019,28/01/2022,20.71,4.0,prod,0.0,2,2022-01-28,,,True,,2,True
50,2110,107,3883786,IS0015730M,107B-DE-820-40,YP04,1,26/01/2022,09/02/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702020,09/02/2022,765.12,22.0,prod,0.0,1,2022-02-09,,,True,,2,True
51,2110,107,3892575,IS0028165M,107B-800VU-COA-40,YP04,1,26/01/2022,09/02/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702020,09/02/2022,20.71,4.0,prod,0.0,2,2022-02-09,,,True,,2,True
52,2110,177,3888657,IS0014648M,177A-915LR,YP04,1,11/02/2022,11/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702017,14/02/2022,123.493315543289,18.0,prod,0.0,3,2022-02-11,,,True,,2,True
53,2110,177,6001371,IS0014648M,177A-915LR,YP04,1,25/02/2022,25/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP MMEf PART RIMP,A117702018,28/02/2022,123.493315543289,18.0,prod,0.0,3,2022-02-25,,,True,,2,True
54,2110,107,3896140,IS0015730M,107B-DE-820-40,YP04,1,11/02/2022,25/02/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702021,25/02/2022,765.12,22.0,prod,0.0,1,2022-02-25,,,True,,2,True
55,2110,107,3902345,IS0028165M,107B-800VU-COA-40,YP04,1,08/02/2022,25/02/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702021,25/02/2022,20.71,4.0,prod,0.0,2,2022-02-25,,,True,,2,True
56,2110,107,3900151,IS0015667M,107A-DE-820-40,YP04,1,03/03/2022,09/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,09/03/2022,765.12,22.0,prod,1.0,1,2022-03-09,,,True,,2,True
57,2110,107,6008316,IS0028108M,107A-800VU-COA-40,YP04,1,04/03/2022,09/03/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A110702022,10/03/2022,20.71,4.0,prod,0.0,2,2022-03-09,,,True,,2,True
58,2110,177,6008370,IS0014648M,177A-915LR,YP04,1,07/03/2022,10/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702019,09/03/2022,123.493315543289,18.0,prod,0.0,3,2022-03-10,,,True,,2,True
59,2110,177,6016024,IS0014648M,177A-915LR,YP04,1,21/03/2022,24/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702020,28/03/2022,123.493315543289,18.0,prod,0.0,3,2022-03-24,,,True,,2,True
60,2110,107,6008342,IS0015667M,107A-DE-820-40,YP04,1,07/03/2022,28/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702023,22/03/2022,765.12,22.0,prod,1.0,1,2022-03-28,,,True,,2,True
61,2110,107,6013025,IS0028108M,107A-800VU-COA-40,YP04,1,11/03/2022,28/03/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702023,22/03/2022,20.71,4.0,prod,0.0,2,2022-03-28,,,True,,2,True
62,2110,177,6023522,IS0014648M,177A-915LR,YP04,1,01/04/2022,05/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702021,04/04/2022,123.493315543289,18.0,prod,0.0,3,2022-04-05,,,True,,2,True
63,2110,177,6033309,IS0014648M,177A-915LR,YP04,1,12/04/2022,13/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702022,14/04/2022,123.493315543289,18.0,prod,0.0,3,2022-04-13,,,True,,2,True
64,2110,107,6023495,IS0028165M,107B-800VU-COA-40,YP04,1,12/04/2022,19/04/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702024,14/04/2022,20.71,4.0,prod,0.0,2,2022-04-19,,,True,,2,True
65,2110,107,6012939,IS0015730M,107B-DE-820-40,YP04,1,29/03/2022,19/04/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702024,14/04/2022,765.12,22.0,prod,0.0,1,2022-04-19,,,True,,2,True
66,2110,177,6037974,IS0014648M,177A-915LR,YP04,1,02/05/2022,02/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702023,28/04/2022,123.493315543289,18.0,prod,0.0,3,2022-05-02,,,True,,2,True
67,2110,107,6023493,IS0015730M,107B-DE-820-40,YP04,1,25/04/2022,06/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702025,28/04/2022,765.12,22.0,prod,0.0,1,2022-05-06,,,True,,2,True
68,2110,107,6024172,IS0028165M,107B-800VU-COA-40,YP04,1,06/05/2022,06/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702025,28/04/2022,20.71,4.0,prod,0.0,2,2022-05-06,,,True,,2,True
69,2110,107,6029658,IS0028165M,107B-800VU-COA-40,YP04,1,16/05/2022,17/05/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702026,17/05/2022,20.71,4.0,prod,0.0,2,2022-05-17,,,True,,2,True
70,2110,177,6037975,IS0014648M,177A-915LR,YP04,1,23/05/2022,23/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702024,23/05/2022,123.493315543289,18.0,prod,0.0,3,2022-05-23,,,True,,2,True
71,2110,107,6024117,IS0015730M,107B-DE-820-40,YP04,1,09/05/2022,27/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702026,17/05/2022,765.12,22.0,prod,0.0,1,2022-05-27,,,True,,2,True
72,2110,177,6051612,IS0014648M,177A-915LR,YP04,1,30/05/2022,30/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702025,26/05/2022,123.493315543289,18.0,prod,0.0,3,2022-05-30,,,True,,2,True
73,2110,107,6051626,IS0028165M,107B-800VU-COA-40,YP04,1,23/05/2022,30/05/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702028,31/05/2022,20.71,4.0,prod,0.0,2,2022-05-30,,,True,,2,True
74,2110,107,6051617,IS0015730M,107B-DE-820-40,YP04,1,20/05/2022,30/05/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702028,31/05/2022,765.12,22.0,prod,0.0,1,2022-05-30,,,True,,2,True
75,2110,177,6065467,IS0014648M,177A-915LR,YP04,1,03/06/2022,07/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702026,07/06/2022,123.493315543289,18.0,prod,0.0,3,2022-06-07,,,True,,2,True
76,2110,107,6058306,IS0015667M,107A-DE-820-40,YP04,1,30/05/2022,13/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702030,10/06/2022,765.12,22.0,prod,1.0,1,2022-06-13,,,True,,2,True
77,2110,107,6065478,IS0028108M,107A-800VU-COA-40,YP04,1,02/06/2022,13/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A110702030,10/06/2022,20.71,4.0,prod,0.0,2,2022-06-13,,,True,,2,True
78,2110,177,6077092,IS0014648M,177A-915LR,YP04,1,20/06/2022,21/06/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP MMEf RIMP,A117702028,21/06/2022,123.493315543289,18.0,prod,0.0,3,2022-06-21,,,True,,2,True
79,2110,107,6071708,IS0028165M,107B-800VU-COA-40,YP04,1,14/06/2022,22/06/2022,None,,nan,TCLO IPRP CONF LIVR CCRP ERCT ARCO MMEf*,A210702029,23/06/2022,20.71,4.0,prod,0.0,2,2022-06-22,,,True,,2,True
80,2110,107,6065469,IS0015730M,107B-DE-820-40,YP04,1,13/06/2022,27/06/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702029,23/06/2022,765.12,22.0,prod,0.0,1,2022-06-27,,,True,,2,True
81,2110,107,6080753,IS0028165M,107B-800VU-COA-40,YP04,1,24/06/2022,06/07/2022,None,,nan,TCLO ARTM IPRP CONF LIVR CCRP ERCT MMEf*,A210702031,01/07/2022,20.71,4.0,prod,0.0,2,2022-07-06,,,True,,2,True
82,2110,107,6071694,IS0015730M,107B-DE-820-40,YP04,1,27/06/2022,06/07/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702031,01/07/2022,765.12,22.0,prod,0.0,1,2022-07-06,,,True,,2,True
83,2110,107,6084054,IS0028165M,107B-800VU-COA-40,YP04,1,06/07/2022,18/07/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702032,14/07/2022,20.71,4.0,prod,0.0,2,2022-07-18,,,True,,2,True
84,2110,107,6084046,IS0015730M,107B-DE-820-40,YP04,1,04/07/2022,18/07/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702032,14/07/2022,765.12,22.0,prod,0.0,1,2022-07-18,,,True,,2,True
85,2110,177,6084041,IS0014648M,177A-915LR,YP04,1,08/08/2022,10/08/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP MMEf RIMP,A117702030,09/08/2022,123.493315543289,18.0,prod,0.0,3,2022-08-10,,,True,,2,True
86,2110,107,6098323,IS0028165M,107B-800VU-COA-40,YP04,1,09/08/2022,10/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702033,09/08/2022,20.71,4.0,prod,0.0,2,2022-08-10,,,True,,2,True
87,2110,107,6085608,IS0015730M,107B-DE-820-40,YP04,1,15/07/2022,10/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702033,09/08/2022,765.12,22.0,prod,0.0,1,2022-08-10,,,True,,2,True
88,2110,177,6087845,IS0014648M,177A-915LR,YP04,1,22/08/2022,24/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ARCO MMEf RIMP,A117702029,24/08/2022,123.493315543289,18.0,prod,0.0,3,2022-08-24,,,True,,2,True
89,2110,107,6098324,IS0028165M,107B-800VU-COA-40,YP04,1,15/08/2022,30/08/2022,None,,nan,TCLO ARTM IMPR CONF LIVR CCRP ERCT MMEf*,A210702034,22/08/2022,20.71,4.0,prod,0.0,2,2022-08-30,,,True,,2,True
90,2110,107,6098313,IS0015730M,107B-DE-820-40,YP04,1,08/08/2022,30/08/2022,None,,nan,TCLO IMPR CONF LIVR CCRP ERCT ARCO MMEf*,A210702034,22/08/2022,765.12,22.0,prod,0.0,1,2022-08-30,,,True,,2,True
91,2110,107,6103120,IS0028165M,107B-800VU-COA-40,YP04,1,09/08/2022,05/09/2022,None,,nan,LANC IMPR CNFP LIVR CCRP ERCT ARCO MMEf*,A210702035,02/09/2022,20.71,4.0,prod,0.0,2,2022-09-05,,,True,,2,True
92,2110,107,6102704,IS0015730M,107B-DE-820-40,YP04,1,23/08/2022,05/09/2022,None,,nan,LANC ARTM IMPR CNFP LIVR CCRP ERCT MMEf*,A210702035,02/09/2022,765.12,22.0,prod,0.0,1,2022-09-05,,,True,,2,True
93,2110,177,6098303,IS0014648M,177A-915LR,YP04,1,08/09/2022,14/09/2022,None,02/09/2022,10.0,LANC ARTM IMPR CCRP RIMP,A117702031,,123.493315543289,18.0,prod,0.0,3,2022-09-02,2022-09-14 06:00:00,,False,2022-09-14 06:00:00,2,True
94,2110,107,6123521,IS0028108M,107A-800VU-COA-40,YP04,1,05/09/2022,12/09/2022,None,07/09/2022,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A110702036,,20.71,4.0,prod,0.0,2,2022-09-07,2022-09-12 06:00:00,,False,2022-09-12 06:00:00,2,True
95,2110,107,6113049,IS0015667M,107A-DE-820-40,YP04,1,05/09/2022,12/09/2022,None,07/09/2022,10.0,LANC ARTM IMPR CNFP CCRP ERCT MMEf RIMP,A110702036,,765.12,22.0,prod,1.0,1,2022-09-07,2022-09-12 06:00:00,,False,2022-09-12 06:00:00,2,True
96,2110,177,6098304,IS0014648M,177A-915LR,YP04,1,19/09/2022,26/09/2022,None,13/09/2022,10.0,LANC ARTM IMPR CCRP RIMP,A117702032,,123.493315543289,18.0,prod,0.0,3,2022-09-13,,,False,2022-09-21 22:00:00,2,True
97,2110,107,981235919,IS0028165M,107B-800VU-COA-40,KD,1,20/09/2022,27/09/2022,X,20/09/2022,10.0,None,A210702037,,20.71,4.0,prod,0.0,2,2022-09-20,,,False,2022-10-03 09:12:00,2,True
98,2110,107,6123445,IS0015730M,107B-DE-820-40,YP04,1,05/09/2022,22/09/2022,None,20/09/2022,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A210702037,,765.12,22.0,prod,0.0,1,2022-09-20,,,False,2022-10-13 09:00:00,2,True
99,2110,177,980824321,IS0014648M,177A-915LR,KD,1,20/09/2022,21/09/2022,X,23/09/2022,15.0,None,A117702033,,123.493315543289,18.0,prod,0.0,3,2022-09-23,,,False,2022-10-25 09:00:00,2,True
100,2110,177,980824322,IS0014648M,177A-915LR,KD,1,29/09/2022,30/09/2022,X,10/10/2022,15.0,None,A117702034,,123.493315543289,18.0,prod,0.0,3,2022-10-10,,,False,2022-11-03 12:12:00,2,True
101,2110,107,981235920,IS0028165M,107B-800VU-COA-40,KD,1,30/09/2022,07/10/2022,X,13/10/2022,15.0,None,A210702038,,20.71,4.0,prod,0.0,2,2022-10-13,,,False,2022-11-14 15:12:00,2,True
