,id,created_at,updated_at,created_by,updated_by,is_deleted,deleted_by,deleted_at,restored_at,restored_by,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,smoothing_end_date,closed,week_programm_demand,year_programm_demand,year_week_programm_demand,week_production_plan,year_production_plan,year_week_production_plan
91,53779,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,6098303,IS0014648M,177A-915LR,YP04,1,2022-09-08,2022-09-14,None,2022-09-02,10.0,LANC ARTM IMPR CCRP RIMP,A117702031,,123.493315543289,18.0,prod,0.0,3,2022-09-02,2022-09-14 06:00:00,,2022-09-14 06:00:00,False,35,2022,2022_35,37,2022,2022_37
94,53782,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6123521,IS0028108M,107A-800VU-COA-40,YP04,1,2022-09-05,2022-09-12,None,2022-09-07,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A110702036,,20.71,4.0,prod,0.0,2,2022-09-07,2022-09-12 06:00:00,,2022-09-12 06:00:00,False,36,2022,2022_36,37,2022,2022_37
95,53783,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6113049,IS0015667M,107A-DE-820-40,YP04,1,2022-09-05,2022-09-12,None,2022-09-07,10.0,LANC ARTM IMPR CNFP CCRP ERCT MMEf RIMP,A110702036,,765.12,22.0,prod,1.0,1,2022-09-07,2022-09-12 06:00:00,,2022-09-12 06:00:00,False,36,2022,2022_36,37,2022,2022_37
96,53784,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,6098304,IS0014648M,177A-915LR,YP04,1,2022-09-19,2022-09-26,None,2022-09-13,10.0,LANC ARTM IMPR CCRP RIMP,A117702032,,123.493315543289,18.0,prod,0.0,3,2022-09-13,,,2022-09-23 09:12:00,False,37,2022,2022_37,38,2022,2022_38
97,53785,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235919,IS0028165M,107B-800VU-COA-40,KD,1,2022-09-20,2022-09-27,X,2022-09-20,10.0,None,A210702037,,20.71,4.0,prod,0.0,2,2022-09-20,,,2022-09-22 06:00:00,False,38,2022,2022_38,38,2022,2022_38
98,53786,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,6123445,IS0015730M,107B-DE-820-40,YP04,1,2022-09-05,2022-09-22,None,2022-09-20,10.0,LANC ARTM IMPR CCRP ERCT MMEf RIMP,A210702037,,765.12,22.0,prod,0.0,1,2022-09-20,,,2022-09-22 06:00:00,False,38,2022,2022_38,38,2022,2022_38
99,53787,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824321,IS0014648M,177A-915LR,KD,1,2022-09-20,2022-09-21,X,2022-09-23,15.0,None,A117702033,,123.493315543289,18.0,prod,0.0,3,2022-09-23,,,2022-10-04 12:24:00,False,38,2022,2022_38,40,2022,2022_40
100,53788,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824322,IS0014648M,177A-915LR,KD,1,2022-09-29,2022-09-30,X,2022-10-10,15.0,None,A117702034,,123.493315543289,18.0,prod,0.0,3,2022-10-10,,,2022-10-13 15:36:00,False,41,2022,2022_41,41,2022,2022_41
101,53789,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235920,IS0028165M,107B-800VU-COA-40,KD,1,2022-09-30,2022-10-07,X,2022-10-13,15.0,None,A210702038,,20.71,4.0,prod,0.0,2,2022-10-13,,,2022-10-04 06:00:00,False,41,2022,2022_41,40,2022,2022_40
102,53790,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235807,IS0015730M,107B-DE-820-40,KD,1,2022-09-21,2022-10-07,X,2022-10-13,15.0,None,A210702038,,765.12,22.0,prod,0.0,1,2022-10-13,,,2022-10-04 06:00:00,False,41,2022,2022_41,40,2022,2022_40
103,53791,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824324,IS0014648M,177A-915LR,KD,1,2022-10-11,2022-10-12,X,2022-10-19,15.0,None,A117702036,,123.493315543289,18.0,prod,0.0,3,2022-10-19,,,2022-10-24 18:48:00,False,42,2022,2022_42,43,2022,2022_43
104,53792,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824323,IS0014648M,177A-915LR,KD,1,2022-10-20,2022-10-21,X,2022-10-20,10.0,None,A117702035,,123.493315543289,18.0,prod,0.0,3,2022-10-20,,,2022-11-03 06:00:00,False,42,2022,2022_42,44,2022,2022_44
105,53793,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235808,IS0015730M,107B-DE-820-40,KD,1,2022-10-03,2022-10-19,X,2022-10-25,15.0,None,A210702039,,765.12,22.0,prod,0.0,1,2022-10-25,,,2022-10-14 06:00:00,False,43,2022,2022_43,41,2022,2022_41
106,53794,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235921,IS0028165M,107B-800VU-COA-40,KD,1,2022-10-12,2022-10-19,X,2022-10-25,15.0,None,A210702039,,20.71,4.0,prod,0.0,2,2022-10-25,,,2022-10-14 06:00:00,False,43,2022,2022_43,41,2022,2022_41
107,53795,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235922,IS0028165M,107B-800VU-COA-40,KD,1,2022-10-24,2022-10-31,X,2022-11-07,15.0,None,A210702040,,20.71,4.0,prod,0.0,2,2022-11-07,,,2022-10-26 06:00:00,False,45,2022,2022_45,43,2022,2022_43
108,53796,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235809,IS0015730M,107B-DE-820-40,KD,1,2022-10-13,2022-10-31,X,2022-11-07,15.0,None,A210702040,,765.12,22.0,prod,0.0,1,2022-11-07,,,2022-10-26 06:00:00,False,45,2022,2022_45,43,2022,2022_43
109,53797,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824325,IS0014648M,177A-915LR,KD,1,2022-10-31,2022-11-01,X,2022-11-10,15.0,None,A117702037,,123.493315543289,18.0,prod,0.0,3,2022-11-10,,,2022-11-14 09:12:00,False,45,2022,2022_45,46,2022,2022_46
110,53798,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235810,IS0015730M,107B-DE-820-40,KD,1,2022-10-25,2022-11-10,X,2022-11-17,15.0,None,A210702042,,765.12,22.0,prod,0.0,1,2022-11-17,,,2022-11-07 06:00:00,False,46,2022,2022_46,45,2022,2022_45
111,53799,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235923,IS0028165M,107B-800VU-COA-40,KD,1,2022-11-03,2022-11-10,X,2022-11-17,15.0,None,A210702042,,20.71,4.0,prod,0.0,2,2022-11-17,,,2022-11-07 06:00:00,False,46,2022,2022_46,45,2022,2022_45
112,53800,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824326,IS0014648M,177A-915LR,KD,1,2022-11-09,2022-11-10,X,2022-11-21,15.0,None,A117702038,,123.493315543289,18.0,prod,0.0,3,2022-11-21,,,2022-11-23 12:24:00,False,47,2022,2022_47,47,2022,2022_47
113,53801,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235938,IS0015667M,107A-DE-820-40,KD,1,2022-11-04,2022-11-22,X,2022-11-28,15.0,None,A110702043,,765.12,22.0,prod,1.0,1,2022-11-28,,,2022-11-17 06:00:00,False,48,2022,2022_48,46,2022,2022_46
114,53802,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981235953,IS0028108M,107A-800VU-COA-40,KD,1,2022-11-15,2022-11-22,X,2022-11-28,15.0,None,A110702043,,20.71,4.0,prod,0.0,2,2022-11-28,,,2022-11-17 06:00:00,False,48,2022,2022_48,46,2022,2022_46
115,53803,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824327,IS0014648M,177A-915LR,KD,1,2022-11-18,2022-11-21,X,2022-12-05,15.0,None,A117702039,,123.493315543289,18.0,prod,0.0,3,2022-12-05,,,2022-12-02 15:36:00,False,49,2022,2022_49,48,2022,2022_48
116,53804,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980941382,IS0015730M,107B-DE-820-40,KD,1,2022-11-16,2022-12-02,X,2022-12-07,15.0,None,A210702044,,765.12,22.0,prod,0.0,1,2022-12-07,,,2022-11-29 06:00:00,False,49,2022,2022_49,48,2022,2022_48
117,53805,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980941516,IS0028165M,107B-800VU-COA-40,KD,1,2022-11-25,2022-12-02,X,2022-12-07,15.0,None,A210702044,,20.71,4.0,prod,0.0,2,2022-12-07,,,2022-11-29 06:00:00,False,49,2022,2022_49,48,2022,2022_48
118,53806,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981136436,IS0015730M,107B-DE-820-40,KD,1,2022-11-28,2022-12-14,X,2022-12-20,15.0,None,A210702045,,765.12,22.0,prod,0.0,1,2022-12-20,,,2022-12-09 06:00:00,False,51,2022,2022_51,49,2022,2022_49
119,53807,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,981136487,IS0028165M,107B-800VU-COA-40,KD,1,2022-12-07,2022-12-14,X,2022-12-20,15.0,None,A210702045,,20.71,4.0,prod,0.0,2,2022-12-20,,,2022-12-09 06:00:00,False,51,2022,2022_51,49,2022,2022_49
120,53808,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824328,IS0014648M,177A-915LR,KD,1,2022-11-30,2022-12-01,X,2022-12-21,15.0,None,A117702040,,123.493315543289,18.0,prod,0.0,3,2022-12-21,,,2022-12-13 18:48:00,False,51,2022,2022_51,50,2022,2022_50
121,53809,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824329,IS0014648M,177A-915LR,KD,1,2022-12-09,2022-12-12,X,2022-12-30,15.0,None,A117702042,,123.493315543289,18.0,prod,0.0,3,2022-12-30,,,2022-12-23 06:00:00,False,52,2022,2022_52,51,2022,2022_51
122,53810,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980941383,IS0015730M,107B-DE-820-40,KD,1,2022-12-08,2023-01-02,X,2023-01-05,15.0,None,A210702046,,765.12,22.0,prod,0.0,1,2023-01-05,,,2022-12-21 06:00:00,False,1,2023,2023_1,51,2022,2022_51
123,53811,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980941517,IS0028165M,107B-800VU-COA-40,KD,1,2022-12-19,2023-01-02,X,2023-01-05,15.0,None,A210702046,,20.71,4.0,prod,0.0,2,2023-01-05,,,2022-12-21 06:00:00,False,1,2023,2023_1,51,2022,2022_51
124,53812,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824330,IS0014648M,177A-915LR,KD,1,2022-12-20,2022-12-21,X,2023-01-10,15.0,None,A117702043,,123.493315543289,18.0,prod,0.0,3,2023-01-10,,,1900-01-01 06:00:00,False,2,2023,2023_2,1,1900,1900_1
125,53813,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839367,IS0015730M,107B-DE-820-40,KD,1,2022-12-20,2023-01-12,X,2023-01-18,15.0,None,A210702047,,765.12,22.0,prod,0.0,1,2023-01-18,,,2023-01-09 06:00:00,False,3,2023,2023_3,2,2023,2023_2
126,53814,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842110,IS0028165M,107B-800VU-COA-40,KD,1,2023-01-05,2023-01-12,X,2023-01-18,15.0,None,A210702047,,20.71,4.0,prod,0.0,2,2023-01-18,,,2023-01-09 06:00:00,False,3,2023,2023_3,2,2023,2023_2
127,53815,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824331,IS0014648M,177A-915LR,KD,1,2023-01-05,2023-01-06,X,2023-01-19,15.0,None,A117702044,,123.493315543289,18.0,prod,0.0,3,2023-01-19,,,1900-01-01 06:00:00,False,3,2023,2023_3,1,1900,1900_1
128,53816,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842111,IS0028165M,107B-800VU-COA-40,KD,1,2023-01-17,2023-01-24,X,2023-01-27,15.0,None,A210702048,,20.71,4.0,prod,0.0,2,2023-01-27,,,2023-01-19 06:00:00,False,4,2023,2023_4,3,2023,2023_3
129,53817,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839368,IS0015730M,107B-DE-820-40,KD,1,2023-01-06,2023-01-24,X,2023-01-27,15.0,None,A210702048,,765.12,22.0,prod,0.0,1,2023-01-27,,,2023-01-19 06:00:00,False,4,2023,2023_4,3,2023,2023_3
130,53818,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824332,IS0014648M,177A-915LR,KD,1,2023-01-16,2023-01-17,X,2023-01-31,15.0,None,A117702045,,123.493315543289,18.0,prod,0.0,3,2023-01-31,,,1900-01-01 06:00:00,False,5,2023,2023_5,1,1900,1900_1
131,53819,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839369,IS0015730M,107B-DE-820-40,KD,1,2023-01-18,2023-02-03,X,2023-02-07,15.0,None,A210702049,,765.12,22.0,prod,0.0,1,2023-02-07,,,2023-01-31 06:00:00,False,6,2023,2023_6,5,2023,2023_5
132,53820,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842112,IS0028165M,107B-800VU-COA-40,KD,1,2023-01-27,2023-02-03,X,2023-02-07,15.0,None,A210702049,,20.71,4.0,prod,0.0,2,2023-02-07,,,2023-01-31 06:00:00,False,6,2023,2023_6,5,2023,2023_5
133,53821,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824333,IS0014648M,177A-915LR,KD,1,2023-01-26,2023-01-27,X,2023-02-09,15.0,None,A117702046,,123.493315543289,18.0,prod,0.0,3,2023-02-09,,,1900-01-01 06:00:00,False,6,2023,2023_6,1,1900,1900_1
134,53822,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839370,IS0015730M,107B-DE-820-40,KD,1,2023-01-30,2023-02-15,X,2023-02-16,15.0,None,A210702050,,765.12,22.0,prod,0.0,1,2023-02-16,,,2023-02-10 06:00:00,False,7,2023,2023_7,6,2023,2023_6
135,53823,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842113,IS0028165M,107B-800VU-COA-40,KD,1,2023-02-08,2023-02-15,X,2023-02-16,15.0,None,A210702050,,20.71,4.0,prod,0.0,2,2023-02-16,,,2023-02-10 06:00:00,False,7,2023,2023_7,6,2023,2023_6
136,53824,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824334,IS0014648M,177A-915LR,KD,1,2023-02-17,2023-02-20,None,,,None,A117702047,,123.493315543289,18.0,prod,0.0,3,2023-02-20,,,1900-01-01 06:00:00,False,8,2023,2023_8,1,1900,1900_1
137,53825,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842114,IS0028165M,107B-800VU-COA-40,KD,1,2023-02-20,2023-02-27,X,2023-02-28,15.0,None,A210702051,,20.71,4.0,prod,0.0,2,2023-02-28,,,2023-02-22 06:00:00,False,9,2023,2023_9,8,2023,2023_8
138,53826,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839371,IS0015730M,107B-DE-820-40,KD,1,2023-02-09,2023-02-27,X,2023-02-28,15.0,None,A210702051,,765.12,22.0,prod,0.0,1,2023-02-28,,,2023-02-22 06:00:00,False,9,2023,2023_9,8,2023,2023_8
139,53827,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824335,IS0014648M,177A-915LR,KD,1,2023-02-28,2023-03-01,None,,,None,A117702048,,123.493315543289,18.0,prod,0.0,3,2023-03-01,,,1900-01-01 06:00:00,False,9,2023,2023_9,1,1900,1900_1
140,53828,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824336,IS0014648M,177A-915LR,KD,1,2023-03-08,2023-03-09,None,,,None,A117702049,,123.493315543289,18.0,prod,0.0,3,2023-03-09,,,1900-01-01 06:00:00,False,10,2023,2023_10,1,1900,1900_1
141,53829,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842115,IS0028165M,107B-800VU-COA-40,KD,1,2023-03-02,2023-03-09,X,2023-03-13,15.0,None,A210702052,,20.71,4.0,prod,0.0,2,2023-03-13,,,2023-03-06 06:00:00,False,11,2023,2023_11,10,2023,2023_10
142,53830,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839372,IS0015730M,107B-DE-820-40,KD,1,2023-02-21,2023-03-09,X,2023-03-13,15.0,None,A210702052,,765.12,22.0,prod,0.0,1,2023-03-13,,,2023-03-06 06:00:00,False,11,2023,2023_11,10,2023,2023_10
143,53831,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824337,IS0014648M,177A-915LR,KD,1,2023-03-17,2023-03-21,None,,,None,A117702050,,123.493315543289,18.0,prod,0.0,3,2023-03-21,,,1900-01-01 06:00:00,False,12,2023,2023_12,1,1900,1900_1
144,53832,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839373,IS0015730M,107B-DE-820-40,KD,1,2023-03-03,2023-03-22,X,2023-03-24,15.0,None,A210702053,,765.12,22.0,prod,0.0,1,2023-03-24,,,2023-03-16 06:00:00,False,12,2023,2023_12,11,2023,2023_11
145,53833,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842116,IS0028165M,107B-800VU-COA-40,KD,1,2023-03-14,2023-03-22,X,2023-03-24,15.0,None,A210702053,,20.71,4.0,prod,0.0,2,2023-03-24,,,2023-03-16 06:00:00,False,12,2023,2023_12,11,2023,2023_11
146,53834,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839374,IS0015730M,107B-DE-820-40,KD,1,2023-03-15,2023-04-03,X,,,None,A210702054,,765.12,22.0,prod,0.0,1,2023-04-03,,,2023-03-29 06:00:00,False,14,2023,2023_14,13,2023,2023_13
147,53835,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824338,IS0014648M,177A-915LR,KD,1,2023-03-31,2023-04-03,None,,,None,A117702051,,123.493315543289,18.0,prod,0.0,3,2023-04-03,,,1900-01-01 06:00:00,False,14,2023,2023_14,1,1900,1900_1
148,53836,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842117,IS0028165M,107B-800VU-COA-40,KD,1,2023-03-27,2023-04-03,X,,,None,A210702054,,20.71,4.0,prod,0.0,2,2023-04-03,,,2023-03-29 06:00:00,False,14,2023,2023_14,13,2023,2023_13
149,53837,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,177,980824339,IS0014648M,177A-915LR,KD,1,2023-04-11,2023-04-12,None,,,None,A117702052,,123.493315543289,18.0,prod,0.0,3,2023-04-12,,,1900-01-01 06:00:00,False,15,2023,2023_15,1,1900,1900_1
150,53838,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980839375,IS0015730M,107B-DE-820-40,KD,1,2023-03-28,2023-04-13,X,2023-04-14,15.0,None,A210702055,,765.12,22.0,prod,0.0,1,2023-04-14,,,1900-01-01 06:00:00,False,15,2023,2023_15,1,1900,1900_1
151,53839,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980842118,IS0028165M,107B-800VU-COA-40,KD,1,2023-04-06,2023-04-13,X,2023-04-14,15.0,None,A210702055,,20.71,4.0,prod,0.0,2,2023-04-14,,,1900-01-01 06:00:00,False,15,2023,2023_15,1,1900,1900_1
152,53840,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,Marwa,Marwa,False,,2022-09-19 13:01:16.833455,2022-09-19 13:01:16.833455,,2110,107,980941384,IS0015730M,107B-DE-820-40,KD,1,2023-04-04,2023-04-24,None,,,None,A210702056,,765.12,22.0,prod,0.0,1,2023-04-24,,,1900-01-01 06:00:00,False,17,2023,2023_17,1,1900,1900_1
